title,subtitle,description,incorporation,headquarters,sectors,social_links,awards,url
Axiamo GmbH,Motion that matters,Axiamo is providing the motion sensor that lets you focus on your application and gives you the objective feedback to improve the training and performance.,26.03.2015,Nidau,"['ICT', 'Applications', 'Consumer products', 'Consumer', 'Hightech', 'Sensors', 'Open source', 'Wireless', 'Sport', 'Software', 'Wearable technologies']","{'linkedin': 'https://www.linkedin.com/company/axiamo', 'fb': 'https://www.facebook.com/axiamo', 'home': 'http://www.axiamo.com'}","[""Venture Kick (10'000) 2015""]",https://www.venturelab.swiss/Axiamo
Komed Health AG,Slack for Hospitals. Fully Secured. Easy to integrate.,"Komed Health developed a messaging platform for healthcare professionals to connect them on one single interface in real-time. The Komed platform combines a consumer-like user experience for clinical communication with security, privacy, and clinical workflow requirements that today's healthcare organizations require, empowering physicians and care teams to accelerate productivity and improve patient outcomes. Komed platform is built to become the ""All-in-one"" communication hub in healthcare, providing one single interface aggregating data from a variety of different sources. The platform integrates seamlessly with existing healthcare systems to push actionable, real-time patient data at the fingertips of doctors and nurses.",22.06.2017,Zürich,"['ICT', 'Applications', 'Big Data', 'Communications', 'Digital Health', 'Enterprise', 'Healthcare infrastructure', 'Machine Learning / AI', 'Mobile', 'SaaS', 'Security', 'Tackle COVID-19', 'Patient monitoring', 'Software']","{'linkedin': 'https://www.linkedin.com/company/komed-health', 'fb': 'https://www.facebook.com/komedhealth', 'twitter': 'https://twitter.com/komedhealth', 'home': 'https://komed-health.com/'}","['TOP 100 Swiss Startups 2018', ""Venture Kick (30'000) 2017"", 'IMD 2020 Startup Competition', 'Venture Leaders Mobile 2019', 'HSG Spin-off 2017']",https://www.venturelab.swiss/komed-health
Neural Concept SA,Optimizing engineering processes,"Neural Concept creates AI Deep Learning algorithms for industrial engineering. We revolutionize how our customers design their products by speeding up R&D cycles, augmenting product performance, and solving their next engineering challenges. Our platform, Neural Concept Shape (NCS), is based on our Mesh Convolutional Neural Nets and is the first deep learning system that leverages the notion of shape and learns how it interacts with the laws of physics. The company was founded in 2018 in a top-notch AI research lab in EPFL, Switzerland. We are a team of 40 fully committed to our vision, which is to revolutionize the future of industrial engineering with intelligence.",11.06.2018,Lausanne,"['ICT', 'Automotive', 'Aviation and Aerospace', 'Big Data', 'Cloud', 'Hightech', 'Enterprise', 'Mechanics', 'Machine Learning / AI', 'SaaS', 'Services for companies', 'Software']","{'linkedin': 'https://www.linkedin.com/company/neuralconcept', 'twitter': 'https://twitter.com/nc_shape', 'home': 'https://www.neuralconcept.com'}","['TOP 100 Swiss Startups 2023', 'Venture Leaders Technology 2023', 'TOP 100 Swiss Startups 2022', 'TOP 100 Swiss Startups 2021', 'TOP 100 Swiss Startups 2020', ""Venture Kick (130'000) 2019"", 'EPFL Spin-off 2018', 'ESA BIC Switzerland ']",https://www.venturelab.swiss/neural-concept
Fontself,Fontself has developed software that makes it possible for users to use any font they wish in the Internet.,,01.09.2008,Lausanne,"['ICT', 'Mobile', 'Software']","{'linkedin': 'https://www.linkedin.com/company/fontself', 'fb': 'https://www.facebook.com/FontselfApp', 'twitter': 'https://twitter.com/fontself', 'ig': 'https://www.instagram.com/fontself/', 'home': 'http://www.fontself.com'}","['TOP 100 Swiss Startups 2011', '«venture leaders» 2009', 'IMD 2010 Startup Competition']",https://www.venturelab.swiss/Fontself
Pomelo Sàrl,Shopper research consulting,"Pomelo is a shopper research consulting company providing its expertise to brands and retailers. Using cutting edge tracking technology to measure shopper behavior in-store, Pomelo brings learnings and recommendations for optimal merchandising, secondary points of sale and communication strategies.",28.07.2011,Renens,"['ICT', 'Electronics', 'Micro technologies']",{'home': 'https://www.pomelo.company/'},"[""Venture Kick (30'000) 2011"", 'EPFL Spin-off 2011']",https://www.venturelab.swiss/Pomelo
vestr AG,End-to-end digital platform for investment certificates,"vestr is a Zug-based startup company and a business-to-business (B2B) technology provider to the financial services industry with an exclusive focus on actively managed investment products. The company provides a white-labelled software as a service (SaaS) platform that allows portfolio managers to interact with issuers of investment products during the lifecycle of these products. The main client segment for vestr includes traditional banks and issuers of structures products. Current customers include large private banks, smaller regional banks, and large international banks. Total assets on the vestr platform are currently around CHF 5 billion. The company has successfully closed two rounds to date, with high-profile investors including the Swiss stock exchange.",06.12.2017,Zug,"['ICT', 'Finance', 'Fintech', 'Enterprise', 'SaaS', 'Services for companies', 'Trading']","{'linkedin': 'https://www.linkedin.com/company/vestr-ag/', 'home': 'http://www.vestr.com'}","[""Venture Kick (10'000) 2017"", 'Venture Leaders Fintech 2019']",https://www.venturelab.swiss/vestr
Coople (Schweiz) AG,Internet platform for the efficient management of short notice and short-term work assignments,"Coople (former Staff Finder) is a European technology company.  Founded in 2009 by the award-winning Swiss entrepreneur Viktor Calabrò, Coople operates the largest on-demand staffing platform in the world. Coople’s algorithm matches workers looking for shift-based or hourly work with companies that require these workers and 98% of jobs requested are filled within four hours.  Coople’s value chain includes extensive end-to-end automation:  from planning, recruiting, on-boarding, matching, to work management, administration, payroll processing and payments. Coople has 100 full-time employees, offices in Zurich and London and in excess of 210,000 registered clients and workers in the UK and Switzerland. Many of Coople’s clients are blue-chip international companies with complex operational and recruitment needs that require temporary workers for jobs in retail, hospitality, office, events and logistics. Coople’s current clients include Compass, JustEat, Deliveroo, Zara, Swissport, Intercontinental Hotels, Swisscom. Coople won a number of prestigious awards, including Venture Lab’s ""Most Successful Young Enterprise"" award (2012). It was named a ""Top 3 Internet Startup"" by the Top 100 Startups (2013) and one of the ""10 of the Best Businesses at London Technology Week"" by Forbes in 2016. In 2014, Viktor Calabrò won the ""EY Entrepreneur of the Year"" award and was subsequently included in the ""EY Entrepreneur of the Year"" Hall of Fame.  Calabrò is also the co-author, with the sociologists Martina Zolch and Marcel Oertig, of ""Flexible Workforce"".",21.08.2009,Zürich,"['ICT', 'Consulting services', 'Enterprise', 'Internet', 'Human ressources', 'Marketplace', 'SaaS', 'Tackle COVID-19']","{'linkedin': 'https://www.linkedin.com/company/coople-switzerland/', 'fb': 'https://www.facebook.com/CoopleSchweiz', 'twitter': 'https://twitter.com/CoopleSchweiz', 'ig': 'http://instagram.com/coople_uk', 'home': 'https://www.coople.com'}","['TOP 100 Swiss Startups 2014', 'TOP 100 Swiss Startups 2013', 'TOP 100 Swiss Startups 2012', '«venture leaders» 2012', 'Ernst & Young - Entrepreneur of the Year® 2014', 'CTI Start-up Label 2012', 'TOP 100 Scale-ups 2019']",https://www.venturelab.swiss/coople-schweiz
Odoma Sàrl,Turning archives into searchable information systems,"We serve the full lifecycle of Data + AI + UX projects in the cultural and creative sectors. From data collection, quality assessment, and documentation, to the design and development of AI solutions and interfaces empowering users in their decisions and experiences.",21.12.2016,Pully,"['ICT', 'Applications', 'Cloud', 'Consulting services', 'Hightech', 'Machine Learning / AI', 'Media', 'Research and development', 'Services for companies', 'Software']",{'home': 'http://www.odoma.ch/'},['EPFL Spin-off 2016'],https://www.venturelab.swiss/Odoma
Plexim GmbH,High-speed simulations of power electronic systems,"Plexim, with offices in Zurich and Boston, is an innovative software company in the field of technical simulation. For over 15 years we have been successfully developing and marketing the simulation software PLECS for power electronic systems and electrical drives. With our real-time systems and processor-in-the-loop simulation, we also offer groundbreaking technologies for testing control equipment. Our customers are leading industrial companies, research institutes and technical universities all over the world.",26.06.2002,Zürich,"['ICT', 'Energy efficiency', 'Electronics', 'Hightech', 'Instruments', 'Software']","{'linkedin': 'https://www.linkedin.com/company/plexim', 'home': 'http://www.plexim.com'}","['«venture leaders» 2004', 'CTI Start-up Label 2006']",https://www.venturelab.swiss/Plexim
Uepaa AG,The industry-leading Safety and Proximity Expert,"Its first product - the Uepaa® Safety App - launched in 2013, successfully showcased this technologys leadership position. This award-winning product evolved into todays industry standard for smartphone-based loneworker safety protection for thousands of employees and field forces - working at risk or alone. www.safety.uepaa.ch  The second product - the Proximity SDK  - launched in 2015, is powering Millions of users proximity applications worldwide (incl. XING or the Austrian ""STOPP CORONA"" contact tracing app). www.p2pkit.io  Uepaa AG, founded in January 2012 by Mathias Haussmann and Dr Franck Legendre, is a Swiss ETH spin-off, headquartered in Zürich.",06.02.2012,Zürich,"['ICT', 'Digital Health', 'Mobile', 'SaaS', 'Services for companies', 'Tackle COVID-19', 'Software']","{'linkedin': 'https://www.linkedin.com/company/uepaa-ag/', 'fb': 'https://www.facebook.com/UepaaAG/', 'twitter': 'https://twitter.com/uepaa', 'home': 'http://www.uepaa.ch'}","['TOP 100 Swiss Startups 2017', 'TOP 100 Swiss Startups 2016', 'Venture Leaders Technology 2016', 'TOP 100 Swiss Startups 2015', 'TOP 100 Swiss Startups 2014', 'TOP 100 Swiss Startups 2013', 'TOP 100 Swiss Startups 2012', ""Venture Kick (130'000) 2012"", 'Best of Swiss Apps 2013', 'UN World Summit Award 2013', 'CTI Start-up Label 2013', 'W.A. de Vigier Stiftung 2012 25th Anniversary', 'ETH Spin-off 2012', 'Venture 2012 - 1. Phase ""Geschäftsidee""', 'Venture 2012 - 2. Phase ""Businessplan""', 'IMD 2012 Startup Competition', 'Volkswirtschaft-Stiftung 2011']",https://www.venturelab.swiss/uepaa
Hoskit Sàrl,Facilitate hotels in understanding and using technology,"Most hotel software at the moment are not automated and are very complex and expensive for small to midscale hotels. Starting with a Central Reservations System that is attractive for this market segment, Hoskit solutions aims to assist hotels with all IT matters in the future.",02.11.2009,Lausanne,"['ICT', 'Internet', 'Software']",{},"[""Venture Kick (30'000) 2010""]",https://www.venturelab.swiss/Hoskit
Tourmaline studio Sàrl,An adventure game with an innovative setup,"Onirigami is an adventure game with an innovative setup : an iPad and two connected figurines which are the heroes of the story. Each figurine is controlled by one of the two players. By moving the figurines on the screen, the players discover an interactive story.",05.04.2016,Genève,"['ICT', 'Gaming', 'Mobile', 'Software']","{'linkedin': 'https://www.linkedin.com/company/9454586?trk=prof-exp-company-name', 'fb': 'http://www.facebook.com/tourmalinestudio', 'home': 'http://www.tourmaline-studio.com'}","[""Venture Kick (10'000) 2015""]",https://www.venturelab.swiss/Onirigami
Arbrea Labs AG,AI based AR Surgery Pre-Visualizations on Human Bodies,"Arbrea is spearheading the aesthetic metaverse revolution. With a range of AI, AR, and 3D tech-enabled products, we're transforming surgery planning and patient consultations, aiding surgeons and patients with photorealistic visualization of potential surgical outcomes. Our primary clients include plastic, aesthetic, and orthodontic surgeons, healthcare institutions, and implant and filler manufacturers. Our portfolio covers procedures such as breast surgery, facial treatments, and more. With a successful spin-out sale in June 2021, we're building the first Medical Metaverse.",07.06.2021,Zurich,"['ICT', 'Applications', 'AR/VR/MR', 'Digital Health', 'Machine Learning / AI', 'Medtech', 'SaaS', 'Software', 'Surgery']","{'linkedin': 'https://www.linkedin.com/company/arbrea-labs-ag/', 'fb': 'https://www.facebook.com/arbrealabs/', 'ig': 'https://www.instagram.com/arbrealabs/', 'home': 'http://www.arbrea-labs.com'}",['Venture Leaders Medtech 2022'],https://www.venturelab.swiss/arbrea-labs
BizTelligence AG,A video security and consumer behavior information system,"BizTelligence supports organizations with high tech information systems for customer acquisition, customer retention and customer management. BizTelligence's flagship product TrueSense visualizes shopper flows and lets you manage customer frequencies and stop times.",14.02.2011,Brugg,"['ICT', 'Enterprise']","{'linkedin': 'https://www.linkedin.com/company/biztelligence/', 'twitter': 'https://twitter.com/biztelligence', 'home': 'http://www.biztelligence.com'}","['«venture leaders» 2011', ""Venture Kick (10'000) 2008""]",https://www.venturelab.swiss/biztelligence
PlayfulVision Sarl,"Providing real time, automatic video analytics and statistics for team-sports at all levels.","PlayfulVision  has been acquired and merged with Second Spectrum and is now serving as a research and development center of Second Spectrum in Switzerland. The Swiss office is specialized in Computer Vision and Machine Learning.  PlayfulVision is a spin-off from the Swiss federal institute of technology in Lausanne (EPFL), customizing our patented, vision-based object tracking technology to team-sports.PlayfulVision provides real time, automatic video analytics and statistics for team-sports at all levels. Including ball 3D position and speed, player fitness and skills and also the team tactics. A service that is now attainable only by the privileged major leagues will be open and affordable to the large public.",25.03.2014,Morges,"['ICT', 'Cloud', 'Hightech', 'SaaS', 'Services for consumers', 'Sport', 'Software']","{'linkedin': 'http://www.linkedin.com/company/playfulvision', 'fb': 'https://www.facebook.com/PlayfulVision', 'home': 'https://www.secondspectrum.com/index.html'}","[""Venture Kick (10'000) 2014""]",https://www.venturelab.swiss/PlayfulVision
AKENES SA (Exoscale),Safe and affordable infrastructure as a service,"Exoscale was established in 2011, with the promise to bring simple, scalable, yet affordable cloud infrastructure services from safe locations. In one of the last countries allowing un-tamperable data storage, our expert team - battle hardened from experience in highly critical environments and industries - will ensure your data and services are safe from technical or legal harm.",31.10.2011,Lausanne,"['ICT', 'Cloud', 'Enterprise', 'SaaS']","{'linkedin': 'https://www.linkedin.com/company/exoscale/', 'twitter': 'https://twitter.com/Exoscale', 'home': 'http://www.exoscale.ch'}",['TOP 100 Swiss Startups 2016'],https://www.venturelab.swiss/akenes-sa-exoscale
Meteomatics AG,Weather data processing,"Meteomatics focuses on all aspects around weather and IT services. This includes especially the provision of any weather data and any consulting services around weather models and technologies. But this covers also the very hands-on implementation of customized solutions: Whenever there is a high-demand on highly accurate forecasts or the need of high-performant weather solutions such as in trading we come into the game.To that extent our services reach out into nearly any branch in industry that shows a dependency on weather information: Insurances, commodity trading like renewables, electricity, coal, gas, etc., defense, aerospace, transport, logistics, construction, multi-resource planning, IT industry etc. Each of those industries require highly customized solutions that fit to the p",20.03.2012,St. Gallen,None,"{'linkedin': 'https://www.linkedin.com/company/meteomatics', 'twitter': 'https://twitter.com/meteomatics', 'home': 'http://www.meteomatics.com'}","['TOP 100 Swiss Startups 2015', 'EMPA Spin-off 2012']",https://www.venturelab.swiss/Meteomatics
